rank ,name ,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
1,Walmart,572754.0,2.4,13673.0,1.2,244860.0,409795.0,0.0,2300000.0
2,Amazon,469822.0,21.7,33364.0,56.4,420549.0,1658807.3,0.0,1608000.0
3,Apple,365817.0,33.3,94680.0,64.9,351002.0,2849537.6,0.0,154000.0
4,CVS Health,292111.0,8.7,7910.0,10.2,232999.0,132839.2,0.0,258000.0
5,UnitedHealth Group,287597.0,11.8,17285.0,12.2,212206.0,479830.3,0.0,350000.0
6,Exxon Mobil,285640.0,57.4,23040.0,,338923.0,349652.4,4.0,63000.0
7,Berkshire Hathaway,276094.0,12.5,89795.0,111.2,958784.0,779542.3,-1.0,372000.0
8,Alphabet,257637.0,41.2,76033.0,88.8,359268.0,1842326.1,1.0,156500.0
9,McKesson,238228.0,3.1,4539.0,-604.3,65015.0,45857.8,-2.0,67500.0
10,AmerisourceBergen,213988.8,12.7,1539.9,,57337.8,32355.7,-2.0,40000.0
11,Costco Wholesale,195929.0,17.5,5007.0,25.1,59268.0,255230.7,1.0,288000.0
12,Cigna,174078.0,8.5,5365.0,-36.6,154889.0,76286.3,1.0,72963.0
13,AT&T,168864.0,-1.7,20081.0,,551622.0,169262.4,-2.0,202600.0
14,Microsoft,168088.0,17.5,61271.0,38.4,333779.0,2311358.9,1.0,181000.0
15,Cardinal Health,162467.0,6.2,611.0,,44453.0,15709.4,-1.0,46827.0
16,Chevron,162465.0,71.6,15625.0,,239535.0,317120.1,11.0,42595.0
17,Home Depot,151157.0,14.4,16433.0,27.7,71876.0,309312.6,1.0,490600.0
18,Walgreens Boots Alliance,148579.0,6.5,2542.0,457.5,81285.0,38671.1,-2.0,258500.0
19,Marathon Petroleum,141032.0,58.5,9738.0,,85373.0,47758.1,13.0,17700.0
20,Elevance Health,138639.0,13.8,6104.0,33.5,97460.0,118533.5,3.0,98200.0
21,Kroger,137888.0,4.1,1655.0,-36.0,49086.0,41496.2,-4.0,420000.0
22,Ford Motor,136341.0,7.2,17937.0,,257035.0,67958.2,-1.0,183000.0
23,Verizon Communications,133613.0,4.1,22065.0,24.0,366596.0,213837.1,-3.0,118400.0
24,JPMorgan Chase,127202.0,-1.8,48334.0,65.9,3743567.0,402526.9,-5.0,271025.0
25,General Motors,127004.0,3.7,10019.0,55.9,244718.0,63555.2,-3.0,157000.0
26,Centene,125982.0,13.4,1347.0,-25.5,78375.0,49072.2,-2.0,72500.0
27,Meta Platforms,117929.0,37.2,39370.0,35.1,165987.0,605251.0,7.0,71970.0
28,Comcast,116385.0,12.4,14159.0,34.4,275905.0,212245.8,-2.0,189000.0
29,Phillips 66,114852.0,75.4,1317.0,,55594.0,41561.0,19.0,14000.0
30,Valero Energy,108332.0,80.2,930.0,,57888.0,41572.2,23.0,9804.0
31,Dell Technologies,106995.0,13.6,5563.0,71.2,92735.0,38164.4,-3.0,133000.0
32,Target,106005.0,13.3,6946.0,59.0,53811.0,98134.4,-2.0,450000.0
33,Fannie Mae,101543.0,-4.6,22176.0,87.9,4229166.0,909.1,-8.0,7400.0
